year, lg, tm, player, player, player, player, player
2016-17,NBA,1st,Anthony Davis C,LeBron James F,Kawhi Leonard F,James Harden G,Russell Westbrook G
2016-17,NBA,2nd,Rudy Gobert C,Giannis Antetokounmpo F,Kevin Durant F,Stephen Curry G,Isaiah Thomas G
2016-17,NBA,3rd,DeAndre Jordan C,Draymond Green F,Jimmy Butler F,John Wall G,DeMar DeRozan G
2015-16,NBA,1st,DeAndre Jordan C,LeBron James F,Kawhi Leonard F,Stephen Curry G,Russell Westbrook G
2015-16,NBA,2nd,DeMarcus Cousins C,Kevin Durant F,Draymond Green F,Chris Paul G,Damian Lillard G
2015-16,NBA,3rd,Andre Drummond C,Paul George F,LaMarcus Aldridge F,Klay Thompson G,Kyle Lowry G
2014-15,NBA,1st,Marc Gasol C,LeBron James F,Anthony Davis F,Stephen Curry G,James Harden G
2014-15,NBA,2nd,DeMarcus Cousins C,Pau Gasol C,LaMarcus Aldridge F,Russell Westbrook G,Chris Paul G
2014-15,NBA,3rd,DeAndre Jordan C,Blake Griffin F,Tim Duncan F,Klay Thompson G,Kyrie Irving G
2013-14,NBA,1st,Joakim Noah C,Kevin Durant F,LeBron James F,James Harden G,Chris Paul G
2013-14,NBA,2nd,Dwight Howard C,Blake Griffin F,Kevin Love F,Stephen Curry G,Tony Parker G
2013-14,NBA,3rd,Al Jefferson C,Paul George F,LaMarcus Aldridge F,Goran Dragić G,Damian Lillard G
2012-13,NBA,1st,Tim Duncan C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G
2012-13,NBA,2nd,Marc Gasol C,Carmelo Anthony F,Blake Griffin F,Tony Parker G,Russell Westbrook G
2012-13,NBA,3rd,Dwight Howard C,Paul George F,David Lee F,James Harden G,Dwyane Wade G
2011-12,NBA,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Chris Paul G
2011-12,NBA,2nd,Andrew Bynum C,Blake Griffin F,Kevin Love F,Tony Parker G,Russell Westbrook G
2011-12,NBA,3rd,Tyson Chandler C,Carmelo Anthony F,Dirk Nowitzki F,Rajon Rondo G,Dwyane Wade G
2010-11,NBA,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Derrick Rose G
2010-11,NBA,2nd,Amar'e Stoudemire C,Pau Gasol F,Dirk Nowitzki F,Dwyane Wade G,Russell Westbrook G
2010-11,NBA,3rd,Al Horford C,LaMarcus Aldridge F,Zach Randolph F,Manu Ginóbili G,Chris Paul G
2009-10,NBA,1st,Dwight Howard C,Kevin Durant F,LeBron James F,Kobe Bryant G,Dwyane Wade G
2009-10,NBA,2nd,Amar'e Stoudemire C,Carmelo Anthony F,Dirk Nowitzki F,Steve Nash G,Deron Williams G
2009-10,NBA,3rd,Andrew Bogut C,Tim Duncan F,Pau Gasol F,Joe Johnson G,Brandon Roy G
2008-09,NBA,1st,Dwight Howard C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Dwyane Wade G
2008-09,NBA,2nd,Yao Ming C,Tim Duncan F,Paul Pierce F,Chris Paul G,Brandon Roy G
2008-09,NBA,3rd,Shaquille O'Neal C,Carmelo Anthony F,Pau Gasol F,Chauncey Billups G,Tony Parker G
2007-08,NBA,1st,Dwight Howard C,Kevin Garnett F,LeBron James F,Kobe Bryant G,Chris Paul G
2007-08,NBA,2nd,Amar'e Stoudemire C,Tim Duncan F,Dirk Nowitzki F,Steve Nash G,Deron Williams G
2007-08,NBA,3rd,Yao Ming C,Carlos Boozer F,Paul Pierce F,Manu Ginóbili G,Tracy McGrady G
2006-07,NBA,1st,Amar'e Stoudemire C,Tim Duncan F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G
2006-07,NBA,2nd,Yao Ming C,Chris Bosh F,LeBron James F,Gilbert Arenas G,Tracy McGrady G
2006-07,NBA,3rd,Dwight Howard C,Carmelo Anthony F,Kevin Garnett F,Chauncey Billups G,Dwyane Wade G
2005-06,NBA,1st,Shaquille O'Neal C,LeBron James F,Dirk Nowitzki F,Kobe Bryant G,Steve Nash G
2005-06,NBA,2nd,Ben Wallace C,Elton Brand F,Tim Duncan F,Chauncey Billups G,Dwyane Wade G
2005-06,NBA,3rd,Yao Ming C,Carmelo Anthony F,Shawn Marion F,Gilbert Arenas G,Allen Iverson G
2004-05,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Dirk Nowitzki F,Allen Iverson G,Steve Nash G
2004-05,NBA,2nd,Amar'e Stoudemire C,Kevin Garnett F,LeBron James F,Ray Allen G,Dwyane Wade G
2004-05,NBA,3rd,Ben Wallace C,Shawn Marion F,Tracy McGrady F,Gilbert Arenas G,Kobe Bryant G
2003-04,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Jason Kidd G
2003-04,NBA,2nd,Ben Wallace C,Jermaine O'Neal F,Peja Stojaković F,Sam Cassell G,Tracy McGrady G
2003-04,NBA,3rd,Yao Ming C,Metta World Peace F,Dirk Nowitzki F,Baron Davis G,Michael Redd G
2002-03,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G
2002-03,NBA,2nd,Ben Wallace C,Dirk Nowitzki F,Chris Webber F,Allen Iverson G,Jason Kidd G
2002-03,NBA,3rd,Jermaine O'Neal C,Jamal Mashburn F,Paul Pierce F,Stephon Marbury G,Steve Nash G
2001-02,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Tracy McGrady F,Kobe Bryant G,Jason Kidd G
2001-02,NBA,2nd,Dirk Nowitzki C,Kevin Garnett F,Chris Webber F,Allen Iverson G,Gary Payton G
2001-02,NBA,3rd,Dikembe Mutombo C,Jermaine O'Neal F,Ben Wallace F,Steve Nash G,Paul Pierce G
2000-01,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Chris Webber F,Allen Iverson G,Jason Kidd G
2000-01,NBA,2nd,Dikembe Mutombo C,Vince Carter F,Kevin Garnett F,Kobe Bryant G,Tracy McGrady G
2000-01,NBA,3rd,David Robinson C,Karl Malone F,Dirk Nowitzki F,Ray Allen G,Gary Payton G
1999-00,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Kevin Garnett F,Jason Kidd G,Gary Payton G
1999-00,NBA,2nd,Alonzo Mourning C,Grant Hill F,Karl Malone F,Kobe Bryant G,Allen Iverson G
1999-00,NBA,3rd,David Robinson C,Vince Carter F,Chris Webber F,Eddie Jones G,Stephon Marbury G
1998-99,NBA,1st,Alonzo Mourning C,Tim Duncan F,Karl Malone F,Allen Iverson G,Jason Kidd G
1998-99,NBA,2nd,Shaquille O'Neal C,Grant Hill F,Chris Webber F,Tim Hardaway G,Gary Payton G
1998-99,NBA,3rd,Hakeem Olajuwon C,Kevin Garnett F,Antonio McDyess F,Kobe Bryant G,John Stockton G
1997-98,NBA,1st,Shaquille O'Neal C,Tim Duncan F,Karl Malone F,Michael Jordan G,Gary Payton G
1997-98,NBA,2nd,David Robinson C,Vin Baker F,Grant Hill F,Tim Hardaway G,Rod Strickland G
1997-98,NBA,3rd,Dikembe Mutombo C,Scottie Pippen F,Glen Rice F,Reggie Miller G,Mitch Richmond G
1996-97,NBA,1st,Hakeem Olajuwon C,Grant Hill F,Karl Malone F,Tim Hardaway G,Michael Jordan G
1996-97,NBA,2nd,Patrick Ewing C,Scottie Pippen F,Glen Rice F,Gary Payton G,Mitch Richmond G
1996-97,NBA,3rd,Shaquille O'Neal C,Vin Baker F,Anthony Mason F,Anfernee Hardaway G,John Stockton G
1995-96,NBA,1st,David Robinson C,Karl Malone F,Scottie Pippen F,Anfernee Hardaway G,Michael Jordan G
1995-96,NBA,2nd,Hakeem Olajuwon C,Grant Hill F,Shawn Kemp F,Gary Payton G,John Stockton G
1995-96,NBA,3rd,Shaquille O'Neal C,Charles Barkley F,Juwan Howard F,Reggie Miller G,Mitch Richmond G
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
